route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
918,268,6.03,32.0,6352.0,20.42,5.0,276,144,54.365605373425645,119,21,30.57030386275003,25.16,2,Alto Risco,O0918AAA0A,1.0,116.16,2014.52,261,304,532,324
919,179,6.32,24.0,4869.0,12.06,5.0,244,67,67.78326805762192,91,8,21.301110741944417,12.6,0,Médio Risco,O0919AAA0A,0.122,57.77,2010.64,142,262,388,167
920,148,5.96,36.0,2621.0,20.45,5.0,167,61,43.561669476950115,92,4,21.967985599602613,13.5,0,Médio Risco,O0920AAA0A,0.17300000000000001,70.75,2010.77,82,257,316,155
921,64,1.75,7.0,199.0,50.88,5.0,37,0,12.97983784475717,15,0,4.861673535442028,0.91,1,Baixo Risco,O0921AAA0A,1.0,26.65,2014.99,16,23,57,67
922,32,1.14,12.0,153.0,76.12,5.0,10,3,3.0394235042348474,11,0,2.955895607185699,0.42,1,Baixo Risco,O0922AAA0A,0.027000000000000003,18.92,2012.09,6,3,18,13
925,90,1.24,7.0,264.0,65.73,5.0,33,4,10.047506205640332,15,0,4.323637424635667,1.06,1,Baixo Risco,O0925AAA0A,1.0,48.16,2014.64,16,19,55,58
926,235,4.79,37.0,5146.0,23.07,5.0,217,110,41.32161892370857,112,6,25.869201373644007,19.99,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,177,304,348,256
928,186,7.83,32.0,6516.0,9.62,5.0,266,150,41.76464670370999,112,4,28.412304693055336,24.28,2,Alto Risco,O0928AAA0A,0.5,74.55,2013.0,219,275,459,311
932,82,10.39,35.0,3709.0,27.45,5.0,156,60,38.50912075018567,84,4,23.832142465434234,14.81,0,Médio Risco,O0932AAA0A,0.0,22.78,2010.0,51,260,205,275
940,187,10.82,55.0,12389.0,20.35,5.0,359,205,52.22296520916919,173,20,37.09672043006857,28.31,2,Alto Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,297,366,621,435
946,173,7.62,24.0,3194.0,5.73,5.0,314,130,60.72537713815723,165,12,40.38490085900056,16.06,0,Médio Risco,O0946AAA0A,0.5,62.86,2014.0,73,485,446,335
954,142,5.95,79.0,4740.0,42.59,5.0,168,38,45.48050341054055,79,7,21.45504231130086,17.25,2,Alto Risco,O0954AAA0A,0.0,68.47,2010.0,76,156,288,125
961,126,3.98,35.0,1506.0,57.14,5.0,104,30,23.584700448343522,50,0,14.273467835742336,6.93,0,Médio Risco,O0961AAA0A,0.0,67.67,2010.4,29,153,132,191
975,144,9.86,32.0,2288.0,12.07,5.0,265,121,51.188726437426766,140,14,30.319912622718345,14.02,0,Médio Risco,O0975AAA0A,1.0,49.69,2015.0,260,187,490,263
979,158,9.32,77.0,2944.0,11.39,5.0,295,176,38.29584087823936,187,24,36.0859481262986,16.58,2,Alto Risco,O0979AAA0A,1.0,36.58,2015.0,167,458,451,442
987,88,7.15,35.0,3126.0,22.65,5.0,131,55,27.74801580207819,77,0,20.502209142191116,11.29,0,Médio Risco,O0987AAA0A,0.059000000000000004,24.46,2010.53,28,216,145,246
